title,link,company_name,snippet,salary
Developer,https://uk.indeed.com/viewjob?jk=5bbb46b2c2062d17,Government Digital Service,"Share knowledge of tools and techniques with your wider team, both developers and non-developers.Help recruit other developers and, where appropriate, getting…","£49,700 - £64,500 a year"
Python Developer,https://uk.indeed.com/viewjob?jk=c5b8e40ed3ee0aff,Pertemps Network Group,Python Developer required on a permanent basis for an exciting organisation that live and breathe cloud technology.25 Days Holiday + Bank Holidays.,"£60,000 - £65,000 a year"
Apprentice Software Developer,https://uk.indeed.com/viewjob?jk=8be3c289306d977a,Hewlett Packard Enterprise,"You will Design, develop, code, test and debug system software for HPE products.You will gain experience Interfacing with hardware design and development.",None Given
AI Developer,https://uk.indeed.com/viewjob?jk=70ca6ed14e600366,Datasource,They often work on projects which develop ideas into live system demonstrations in 12 months or less.Researching the current state technology and predict…,"£45,000 - £75,000 a year"
Senior Developer (Documentum),https://uk.indeed.com/viewjob?jk=1c0b38be86926719,Revenue and Customs Digital Technology Services,"Extensive experience as a Documentum developer in building and implementing model-driven, enterprise-level business solutions and applications.","£52,500 a year"
Software Engineer,https://uk.indeed.com/viewjob?jk=c34e934e2dc6a10a,Eurofins Digital Testing,"We provide a discretionary annual company bonus, 24 days holiday + bank holidays, pension, life assurance, casual dress code, discount schemes.",None Given
Python Software Developer - CAD/EDA,https://uk.indeed.com/viewjob?jk=256aef10d51c0ea6,IC Resources,Salary: £50k - £60k per year + Excellent Benefits + Remote Working.They're currently seeking a Python Software Developer to work with the latest EDA tools in…,"£50,000 - £60,000 a year"
Software Developer,https://uk.indeed.com/viewjob?jk=e74fbd39e0a911c1,Expleo,"An enthusiastic technologist who can design, integrate and implement a prototype from a minimal brief and design, either as an individual or as part of a team.",None Given
SQL Developer - Fully Remote,https://uk.indeed.com/viewjob?jk=5e3f53874e78b4aa,Opus Recruitment Solutions,"SQL Developer | Fully Remote | £45,000 - £65,000.Azure | SQL | ETL | Python | Cloud | Azure SQL | DBA.If you want to be a part of a UK business with a global…","£45,000 - £65,000 a year"
ETL Developer,https://uk.indeed.com/viewjob?jk=bc08b7635bdf832a,Mayden,"Designing, building and deploying new ETL solutions in line with stakeholder specifications.Maintaining and continuously improving the existing ETL suite,…","From £32,000 a year"
Software Developer,https://uk.indeed.com/viewjob?jk=272ef94032c2f5f6,Hewlett Packard Enterprise,"The Cloud Software Developer builds from the ground up to meet the needs of mission-critical applications, and is always looking for innovative approaches to…",None Given
Site Reliability Engineer,https://uk.indeed.com/viewjob?jk=e8e58fd4395be1b7,Government Digital Service,"Flexible working, Full-time, Job share, Part-time, Compressed Hours.Automate tasks, deployments, and tests by creating infrastructure as code, taking…","£49,700 - £64,500 a year"
Lead Software Engineer - OC Robotics Full-time or Part-time,https://uk.indeed.com/viewjob?jk=e816606c2dd07521,GE Aviation,We operate a core hours policy whereby you will need to be available for work between the hours of 10am and 4pm each day therefore giving a huge amount of…,None Given
Software Engineering Professional,https://uk.indeed.com/viewjob?jk=1faf0199155b4604,BT,"The key purpose of the Software engineering Professional role is to take ownership of a part of a GCP/HaaS/ Python solutions, including design, implementation,…",None Given
Power BI Developer – Outside IR35,https://uk.indeed.com/viewjob?jk=6957e0d260fb606a,Proactive IT,9008CF £400 – 450 per day Power BI Developer – Outside IR35 Our client is urgently looking for an experienced Power BI Developer to join their team on a…,£400 - £450 a day
